62;PARIS //Noir;BOBIGNY //Rouge;CRETEIL //Rouge;PONTOISE //Rouge;MEAUX //Orange;CHARTRES //Orange;NANTERRE //Noir;MELUN //Noir;EVRY //Rouge;LE MANS //Rouge;;
63;PONTOISE //Rouge;CRETEIL //Rouge;MEAUX //Orange;BOBIGNY //Rouge;EVRY //Rouge;CHARTRES //Orange;PARIS //Noir;ORLEANS //Rouge;TOURS //Noir;;;
64;MONTPELLIER //Noir;NIMES //Rouge;TOULOUSE //Rouge;MARSEILLE //Rouge;TOULON //Orange;DRAGUIGNAN //Vert;NICE //Rouge;PERPIGNAN //Rouge;BEZIERS //Vert;NARBONNE //Orange;RODEZ //Vert;CARCASSONNE //Vert
65;NANCY //Vert;EPINAL //Vert;VERDUN //Vert;REIMS //Noir;STRASBOURG //Rouge;SAINT MALO //Vert;;;;;;
66;BAYONNE //Noir;PAU //Rouge;DAX //Orange;SAINTES //Vert;POITIERS //Rouge;NIORT //Vert;BERGERAC //Vert;;;;;
67;NANTES  //Noir;RENNES //Noir;CLERMONT FERRAND //Vert;NANCY //Vert;CHAMBERY //Rouge;STRASBOURG //Rouge;;;;;;
68;PARIS //Noir;BOBIGNY //Rouge;NANTERRE //Noir;EVRY //Rouge;MEAUX //Orange;CHARTRES //Orange;PONTOISE //Rouge;AMIENS //Noir;MELUN //Noir;CRETEIL //Rouge;BEAUVAIS //Vert;COMPIEGNE //Vert
69;SAINT MALO //Vert;SAINT BRIEUC //Orange;ANGERS //Noir;LE MANS //Rouge;SAINT NAZAIRE //Vert;PONTOISE //Rouge;ROUEN //Noir;LORIENT //Rouge;LES SABLES D'OLONNE //Vert;;;
70;BAYONNE //Noir;DAX //Orange;AJACCIO //Rouge;MONTPELLIER //Noir;VALENCE //Rouge;MONT-DE-MARSAN //Vert;;;;;;
71;DIJON //Noir;BOURG/BRES. //Vert;AUXERRE //Vert;MULHOUSE //Orange;COLMAR //Orange;CHALON SUR SAONE //Vert;TROYES //Vert;STRASBOURG //Rouge;;;;
72;CHATEAUROUX //Vert;ARRAS //Vert;DOUAI //Orange;ORLEANS //Rouge;LILLE //Rouge;BOURGES //Orange;;;;;;
73;BOBIGNY //Rouge;CRETEIL //Rouge;MELUN //Noir;EVRY //Rouge;CHARTRES //Orange;TROYES //Vert;POITIERS //Rouge;MONTBELLIARD //Vert;PONTOISE //Rouge;;;
74;NANTES  //Noir;REIMS //Noir;LE MANS //Rouge;POITIERS //Rouge;SAINT BRIEUC //Orange;ARRAS //Vert;;;;;;
75;POITIERS //Rouge;LA ROCHELLE  //Noir;NIORT //Vert;SAINTES //Vert;TOURS //Noir;LA ROCHE S/ YON //Vert;;;;;;
76;NANTES  //Noir;LA ROCHELLE  //Noir;NIORT //Vert;DAX //Orange;LORIENT //Rouge;PERPIGNAN //Rouge;;;;;;
77;BOBIGNY //Rouge;CRETEIL //Rouge;EVRY //Rouge;BERGERAC //Vert;PARIS //Noir;SAINT BRIEUC //Orange;BAYONNE //Noir;PERIGUEUX //Rouge;LA ROCHELLE  //Noir;;;
78;ROUEN //Noir;METZ //Rouge;NANCY //Vert;ORLEANS //Rouge;MONTPELLIER //Noir;CHARTRES //Orange;;;;;;
