Identifiant,Ville obtenue,Rang du voeu satisfait,Voeu 1,Voeu 2,Voeu 3,Voeu 4,Voeu 5,Voeu 6
216,ARRAS,2,MEAUX,ARRAS,LILLE,MARSEILLE,SAINT-NAZAIRE,BOULOGNE-SUR-MER
98,AUCH,1,AUCH,AGEN,BERGERAC,ALBI,CAHORS,TOULOUSE
178,AUXERRE,3,BESANCON,MACON,AUXERRE,LYON,MULHOUSE,NANCY
219,AUXERRE,3,CHALON-SUR-SAONE,BESANCON,AUXERRE,LONS-LE-SAUNIER,TROYES,BOURG-EN-BRESSE
186,AVESNES-SUR-HELPE,6,ARRAS,BETHUNE,DUNKERQUE,DOUAI,BOULOGNE-SUR-MER,AVESNES-SUR-HELPE
224,AVESNES-SUR-HELPE,6,LILLE,DUNKERQUE,DOUAI,ARRAS,BOULOGNE-SUR-MER,AVESNES-SUR-HELPE
91,AVIGNON,1,AVIGNON,VALENCE,LYON,MARSEILLE,PRIVAS,BEAUVAIS
102,AVIGNON,1,AVIGNON,NIMES,PONTOISE,EVRY,SENLIS,BEAUVAIS
93,BAR-LE-DUC,1,BAR-LE-DUC,NANCY,METZ,CHALONS-EN-CHAMPAGNE,SAVERNE,TROYES
8,BASTIA,1,BASTIA,AJACCIO,MARSEILLE,PERPIGNAN,TOULON,LES SABLES-D'OLONNE
272,BASTIA,1,BASTIA,AJACCIO,PERIGUEUX,MONT-DE-MARSAN,AUCH,DIGNE-LES-BAINS
110,BAYONNE,1,BAYONNE,LA ROCHELLE,PAU,MONT-DE-MARSAN,PERIGUEUX,TARBES
131,BAYONNE,1,BAYONNE,TOULOUSE,MONTPELLIER,PAU,DRAGUIGNAN,PERPIGNAN
258,BAYONNE,2,MARSEILLE,BAYONNE,AIX-EN-PROVENCE,TOULON,PERPIGNAN,PAU
4,BEAUVAIS,5,BOBIGNY,CRETEIL,PONTOISE,EVRY,BEAUVAIS,NANCY
157,BEAUVAIS,4,MEAUX,PONTOISE,LILLE,BEAUVAIS,ANNECY,SENLIS
291,BEAUVAIS,5,CRETEIL,NANTERRE,PONTOISE,EVRY,BEAUVAIS,SENLIS
19,BELFORT,1,BELFORT,MONTBELIARD,MULHOUSE,VESOUL,BESANCON,LONS-LE-SAUNIER
27,BERGERAC,1,BERGERAC,ANGOULEME,SAINTES,PERIGUEUX,PAU,TARBES
15,BESANCON,1,BESANCON,TOURS,LE HAVRE,POITIERS,NANCY,BOULOGNE-SUR-MER
29,BESANCON,1,BESANCON,STRASBOURG,NANCY,LYON,MULHOUSE,VESOUL
72,BESANCON,2,LYON,BESANCON,GRENOBLE,SAINT-ETIENNE,CLERMONT-FERRAND,NANCY
38,BETHUNE,1,BETHUNE,DOUAI,LILLE,ARRAS,AVESNES-SUR-HELPE,BOULOGNE-SUR-MER
137,BETHUNE,1,BETHUNE,DOUAI,VALENCIENNES,ARRAS,NANCY,METZ
210,BETHUNE,3,ARRAS,LILLE,BETHUNE,TOURS,METZ,BEAUVAIS
3,BEZIERS,3,BASTIA,BAYONNE,BEZIERS,SAINT-NAZAIRE,PERPIGNAN,DUNKERQUE
211,BEZIERS,1,BEZIERS,NARBONNE,PERPIGNAN,TARASCON,CARPENTRAS,PRIVAS
270,BLOIS,1,BLOIS,ANGERS,LE MANS,ROUEN,NANCY,METZ
209,BOBIGNY,1,BOBIGNY,MEAUX,MARSEILLE,PONTOISE,NANCY,METZ
228,BOBIGNY,1,BOBIGNY,CRETEIL,PONTOISE,MARSEILLE,BEAUVAIS,BOULOGNE-SUR-MER
287,BOBIGNY,1,BOBIGNY,MEAUX,PONTOISE,LILLE,SENLIS,BOULOGNE-SUR-MER
49,BONNEVILLE,5,GRENOBLE,CHAMBERY,ANNECY,THONON-LES-BAINS,BONNEVILLE,ALBERTVILLE
221,BOULOGNE-SUR-MER,3,SAINT-MALO,VANNES,BOULOGNE-SUR-MER,POITIERS,COUTANCES,SAINT-NAZAIRE
243,BOULOGNE-SUR-MER,1,BOULOGNE-SUR-MER,DUNKERQUE,REIMS,CAEN,COUTANCES,LAON
298,BOULOGNE-SUR-MER,5,AVIGNON,ANGERS,ROUEN,LE HAVRE,BOULOGNE-SUR-MER,NANCY
301,BOULOGNE-SUR-MER,5,MARSEILLE,LILLE,AIX-EN-PROVENCE,AVIGNON,BOULOGNE-SUR-MER,COUTANCES
57,BOURG-EN-BRESSE,1,BOURG-EN-BRESSE,STRASBOURG,COLMAR,LE HAVRE,METZ,BOULOGNE-SUR-MER
92,BOURG-EN-BRESSE,1,BOURG-EN-BRESSE,VALENCE,SAINT-ETIENNE,DIJON,CLERMONT-FERRAND,LONS-LE-SAUNIER
179,BOURG-EN-BRESSE,1,BOURG-EN-BRESSE,ORLEANS,BESANCON,ROUEN,CLERMONT-FERRAND,NANCY
225,BOURG-EN-BRESSE,2,VILLEFRANCHE-SUR-SAONE,BOURG-EN-BRESSE,BESANCON,LYON,LONS-LE-SAUNIER,VESOUL
14,BOURGES,1,BOURGES,POITIERS,COLMAR,TOURS,CLERMONT-FERRAND,SAINT-BRIEUC
207,BOURGES,4,ANGERS,TOURS,POITIERS,BOURGES,LIMOGES,NANCY
73,BOURGOIN-JALLIEU,2,VILLEFRANCHE-SUR-SAONE,BOURGOIN-JALLIEU,BOURG-EN-BRESSE,SAINT-ETIENNE,LONS-LE-SAUNIER,CLERMONT-FERRAND
61,BREST,1,BREST,LORIENT,QUIMPER,SAINT-NAZAIRE,CLERMONT-FERRAND,BAYONNE
188,BREST,2,LORIENT,BREST,ANGERS,QUIMPER,SAINT-NAZAIRE,NIORT
130,BRIVE-LA-GAILLARDE,5,ANGOULEME,SAINTES,BAYONNE,PERIGUEUX,BRIVE-LA-GAILLARDE,PAU
155,BRIVE-LA-GAILLARDE,6,ANGOULEME,AGEN,PERIGUEUX,MONT-DE-MARSAN,PAU,BRIVE-LA-GAILLARDE
9,CAEN,2,ANGERS,CAEN,ROUEN,TOULON,NANCY,METZ
42,CAEN,1,CAEN,TOURS,ROUEN,LA ROCHE-SUR-YON,COUTANCES,SAINT-NAZAIRE
133,CAEN,2,LE HAVRE,CAEN,ANGERS,LE MANS,LISIEUX,SAINT-NAZAIRE
99,CAHORS,2,ALBI,CAHORS,MONTAUBAN,AJACCIO,ALES,AUCH
51,CARPENTRAS,3,AVIGNON,NIMES,CARPENTRAS,TOULON,PRIVAS,GAP
147,CARPENTRAS,1,CARPENTRAS,AVIGNON,PRIVAS,NIMES,MARSEILLE,GAP
259,CASTRES,6,BASTIA,BAYONNE,TOULON,GRASSE,LES SABLES-D'OLONNE,CASTRES
2,CHALON-SUR-SAONE,1,CHALON-SUR-SAONE,MONTBELIARD,LONS-LE-SAUNIER,COLMAR,CHALONS-EN-CHAMPAGNE,VESOUL
204,CHALON-SUR-SAONE,1,CHALON-SUR-SAONE,DIJON,BOURG-EN-BRESSE,LYON,LONS-LE-SAUNIER,AUXERRE
160,CHALONS-EN-CHAMPAGNE,1,CHALONS-EN-CHAMPAGNE,REIMS,NANCY,TROYES,DIJON,SOISSONS
275,CHALONS-EN-CHAMPAGNE,3,REIMS,AMIENS,CHALONS-EN-CHAMPAGNE,TROYES,SOISSONS,LAON
268,CHAMBERY,1,CHAMBERY,MONTAUBAN,PERPIGNAN,GRENOBLE,GAP,DIGNE-LES-BAINS
101,CHARLEVILLE-MEZIERES,6,ARRAS,DUNKERQUE,DOUAI,LE HAVRE,LES SABLES-D'OLONNE,CHARLEVILLE-MEZIERES
5,CHARTRES,4,MARSEILLE,LYON,TOULOUSE,CHARTRES,PAU,CLERMONT-FERRAND
194,CHARTRES,2,VERSAILLES,CHARTRES,ROUEN,LILLE,NANCY,BOULOGNE-SUR-MER
197,CHARTRES,2,EVRY,CHARTRES,CRETEIL,LE MANS,NANCY,BEAUVAIS
119,CHATEAUROUX,6,LE MANS,ANGERS,ORLEANS,POITIERS,CLERMONT-FERRAND,CHATEAUROUX
279,CHATEAUROUX,6,REIMS,BAYONNE,CHALONS-EN-CHAMPAGNE,LE MANS,LES SABLES-D'OLONNE,CHATEAUROUX
47,CHERBOURG,1,CHERBOURG,COUTANCES,ARGENTAN,ALENCON,CAEN,SAINT-MALO
89,CLERMONT-FERRAND,3,TOURS,ANGERS,CLERMONT-FERRAND,POITIERS,LIMOGES,LILLE
127,CLERMONT-FERRAND,2,BOURG-EN-BRESSE,CLERMONT-FERRAND,METZ,NANCY,GRENOBLE,MULHOUSE
232,CLERMONT-FERRAND,2,MONTPELLIER,CLERMONT-FERRAND,GRENOBLE,SAINT-ETIENNE,LE HAVRE,GAP
286,CLERMONT-FERRAND,2,STRASBOURG,CLERMONT-FERRAND,COLMAR,BOURGES,LE PUY-EN-VELAY,LE HAVRE
31,COLMAR,1,COLMAR,DIJON,MULHOUSE,NANCY,TROYES,METZ
120,COLMAR,1,COLMAR,SAVERNE,MULHOUSE,NANCY,METZ,AMIENS
129,COLMAR,2,STRASBOURG,COLMAR,BELFORT,SAVERNE,VESOUL,NANCY
116,COMPIEGNE,2,PONTOISE,COMPIEGNE,NANTERRE,LILLE,NANCY,METZ
