55;DRAGUIGNAN;AVIGNON;BASTIA;DIGNE-LES-BAINS;GAP;CHAMBERY
56;SAVERNE;COLMAR;METZ;THIONVILLE;NANCY;MULHOUSE
57;BOURG-EN-BRESSE;STRASBOURG;COLMAR;LE HAVRE;METZ;BOULOGNE-SUR-MER
58;ANGOULEME;LA ROCHELLE;POITIERS;SAINTES;PAU;LIMOGES
59;ANGOULEME;AGEN;PERIGUEUX;POITIERS;PAU;LIMOGES
60;TOULOUSE;MONTAUBAN;AGEN;ALBI;CASTRES;CAHORS
61;BREST;LORIENT;QUIMPER;SAINT-NAZAIRE;CLERMONT-FERRAND;BAYONNE
62;TOULON;AIX-EN-PROVENCE;AVIGNON;DRAGUIGNAN;PAU;CLERMONT-FERRAND
63;MARSEILLE;TOULOUSE;AIX-EN-PROVENCE;NIMES;PERPIGNAN;PAU
64;BAYONNE;LA ROCHELLE;MONT-DE-MARSAN;TOULOUSE;PAU;TARBES
65;ANNECY;BOURG-EN-BRESSE;THONON-LES-BAINS;GRENOBLE;BONNEVILLE;ALBERTVILLE
66;NANTERRE;PONTOISE;CRETEIL;LILLE;BEAUVAIS;NANCY
67;NANTERRE;CRETEIL;PONTOISE;LILLE;BEAUVAIS;SENLIS
68;QUIMPER;LORIENT;BREST;CAEN;SAINT-NAZAIRE;LES SABLES-D'OLONNE
69;ROUEN;LE HAVRE;AMIENS;CAEN;BOULOGNE-SUR-MER;COUTANCES
70;TOURS;BLOIS;LE MANS;LAVAL;NIORT;SAINT-NAZAIRE
71;RENNES;REIMS;ROUEN;LILLE;NANCY;METZ
72;LYON;BESANCON;GRENOBLE;SAINT-ETIENNE;CLERMONT-FERRAND;NANCY
73;VILLEFRANCHE-SUR-SAONE;BOURGOIN-JALLIEU;BOURG-EN-BRESSE;SAINT-ETIENNE;LONS-LE-SAUNIER;CLERMONT-FERRAND
74;CHAMBERY;VALENCE;GAP;BOURGOIN-JALLIEU;LYON;ALBERTVILLE
75;TOURS;ANGERS;LILLE;LE MANS;METZ;BOULOGNE-SUR-MER
76;TOURS;ANGERS;LILLE;LE MANS;METZ;BOULOGNE-SUR-MER
77;ARRAS;REIMS;DUNKERQUE;SENLIS;TROYES;BOULOGNE-SUR-MER
78;NANTERRE;PONTOISE;MEAUX;SENLIS;BEAUVAIS;EVREUX
79;ANGERS;LORIENT;SAINTES;POITIERS;COUTANCES;CLERMONT-FERRAND
